numero,titulo
1,Millonarios vuelve a Manizales: su historial adverso contra Once Caldas
2,El historial de Once Caldas en la Sudamericana
3,Once Caldas y Millonarios abren la CONMEBOL Sudamericana para Colombia en Manizales
4,Marzo de doble competencia para Millonarios: datos e historial en la Sudamericana
5,Cómo fue el partido de Luis Díaz en PSG vs Liverpool
6,"PSG fue mucho mejor pero, sobre el final, Liverpool se llevó la victoria por 1-0"
7,Los clasificados a octavos de la Champions 2024-2025
8,"PSG vs. Liverpool, por Disney+"
9,La Equidad hizo oficial la llegada del técnico Jhon Jairo Bodmer
10,¡EN VIVO! River y Talleres se disputan la Supercopa Internacional en Asunción
11,"La Supercopa Internacional entre River Plate y Talleres, por Disney+"
12,"Champions League: con un gol de Lautaro, Inter ganó en su visita a Feyenoord y dejó la serie casi definida"
13,Le rompió el arco: Lautaro puso el 2-0 para Inter ante Feyenoord
14,Los clasificados a octavos de la Champions 2024-2025
15,"Feyenoord vs. Inter, por Disney+"
16,Atlético Nacional goleó a Fortaleza en la fecha 7 de la Liga Betplay
17,Doblete y asistencia de Cardona en la goleada de Nacional sobre Fortaleza
18,Emilio Aristizábal le marcó a Atlético Nacional y no celebró el gol
19,Marino Hinestroza hizo vibrar El Campín con un golazo frente a Fortaleza
20,Liga de Colombia 2025: cómo va la tabla de posiciones
21,Mayra Ramírez y una asistencia de lujo con Chelsea ante Leicester
22,"Barcelona jugó 70 minutos con uno menos, e igual le ganó a Benfica por la ida de octavos de Champions"
23,Raphinha se iluminó y marcó el único gol del partido entre Barcelona y Benfica por la ida de octavos de Champions
24,Último recurso y roja: Cubarsí dejó con uno menos a Barcelona
25,Bayern Munich goleó a Bayer Leverkusen y tiene un pie en cuartos de Champions
26,"¡Regístrate, es gratis!"
